Sol,Filename,SCLCK,LTST,Ls_deg_,Comment,RMS_20_60,RMS_100_1000,Gustiness,MeanPressure,SD_Pressure,MeanTemp1,MeanTemp2,MeanTemp3,MeanCleanWS,MeanCleanWD,SD_CleanWS,SD_CleanWD,Incident_WD,GroundTemperature,TurbulentHeatFlux,Downwelling Flux
215,LS__0215_0686020522_057EA2__0072050SCAM01215_001_LUJ01.fits,686020338.97,11:02:28,104.962,Passive Atmospheric Recording,0.0073682493338766,0.0028553498360646,0.22531640768074992,677.939761904762,0.282923049526257,237.289404761905,237.634761904762,244.008928571429,5.72589285714286,178.319404761905,1.35212156663764,24.1656569224565,14.724404761905,256.202393,8.74890327,16.993
215,LS__0215_0686036940_180EA2__0072050SCAM04215_001_LUJ02.fits,686036757.355,15:28:49,105.048,Passive Atmospheric Recording,0.0010874326230277,0.000207258547279,0.034188492832284846,670.989821428572,0.0629368394949286,245.301547619048,247.329107142857,258.613928571429,5.80782608695652,139.953354037267,1.90855530953788,21.1993621939464,-23.438645962733,260.651581,8.14683342,17.811
216,LS__0216_0686117574_583EA2__0072050SCAM01216_001_LUJ02.fits,686117390.945,13:16:53,105.47,Passive Atmospheric Recording,0.0015069521567569,0.000212267477927,0.055892775940824396,669.787202380952,0.102682147753888,242.652261904762,243.645654761905,247.800119047619,3.40371794871795,174.588076923077,1.65598668295593,38.1945301626088,128.878276923077,267.064148,8.62995338,17.373
217,LS__0217_0686206767_874EA2__0072050SCAM15367_001_LUJ02.fits,686206582.12,13:23:47,105.937,Passive Atmospheric Recording,0.0060621785408065,0.0013651262774092,0.15653585360613456,668.611488095238,0.0415225194070252,242.39494047619,243.679166666667,243.34744047619,5.961375,78.96725,1.37175528535271,14.1215522402091,46.10855,266.963806,11.0293245,17.872
217,LS__0217_0686218323_057EA2__0072050SCAM15367_001_LUJ01.fits,686218137.16,16:31:14,105.997,Passive Atmospheric Recording,0.0116318312122196,0.0011968861515757,0.18874191431506868,671.427261904762,0.0748147603112027,242.838571428571,244.115238095238,244.636428571429,6.79017857142857,79.3571428571429,1.46740492483509,9.57627264523504,46.4984428571429,252.161819,3.75845742,18.669
218,LS__0218_0686269700_022EA2__0072050SCAM15367_001_LUJ01.fits,686269514.1,06:24:41,106.266,Passive Atmospheric Recording,0.0002120023632525,0.0002150811314414,0.01975237189794775,685.419166666667,0.0828779975328164,204.947440476191,207.033630952381,208.365952380952,0.777857142857143,165.483690476191,0.421789945248516,7.49955787595236,132.624990476191,205.3237,0.0272189472,11.336
218,LS__0218_0686314041_937EA2__0072050SCAM15367_001_LUJ01.fits,686313856.085,18:24:01,106.499,Passive Atmospheric Recording,0.0016060609465119,0.0001922664033137,0.05848323564296742,680.343035714286,0.139596333911042,228.950714285714,229.438988095238,231.720178571429,3.6025,144.574107142857,1.18498932509909,7.96565211199247,111.715407142857,230.15416,0.503671467,16.9
219,LS__0219_0686369821_865EA2__0072050SCAM15367_001_LUJ01.fits,686369635.96,09:28:53,106.792,Passive Atmospheric Recording,0.0011257351521208,0.0002057668021152,0.05319027734789948,681.882083333334,0.0910146014913604,230.902976190476,233.284285714286,232.360654761905,2.8725,128.084642857143,1.14073815265999,56.8470461937076,95.225942857143,240.104599,2.72344899,15.123
219,LS__0219_0686399112_966EA2__0072050SCAM15367_001_LUJ02.fits,686398927.085,17:24:04,106.945,Passive Atmospheric Recording,0.0116143584415845,0.0027051919065932,0.16256619254048246,673.457976190476,0.0421653364433044,238.358869047619,239.01375,240.170178571429,6.40464285714286,88.5257142857143,0.951042852039665,7.55933103616225,55.6670142857143,240.136887,0.866452634,17.0
219,LS__0219_0686411259_823EA2__0072050SCAM15367_001_LUJ02.fits,686411073.95,20:41:07,107.009,Passive Atmospheric Recording,0.00022588855943,0.0002150590393761,0.029585485646686786,679.761785714286,0.0809399972077458,214.16119047619,216.237738095238,215.739880952381,1.36095238095238,169.633511904762,0.935472110527693,56.0428214715397,136.774811904762,217.3936,0.807310104,14.939
