LT(hr),Amp(Pa)
22.0,0.809
22.192,0.932
5.176,0.324
5.264,0.352
5.321,0.31
5.65,0.425
5.753,0.447
6.086,0.596
6.086,0.301
6.196,0.551
9.734,0.591
10.831,0.316
11.173,0.781
11.543,0.757
18.143,0.355
18.553,0.345
18.638,0.301
22.389,0.511
23.051,0.569
1.094,0.524
1.438,0.521
8.155,0.541
11.433,0.589
11.599,0.675
11.623,0.34
11.691,0.553
12.301,0.421
15.444,0.302
4.793,0.382
9.814,0.503
9.944,0.662
13.174,1.233
13.339,0.31
13.725,0.505
14.009,0.69
14.14,0.551
15.52,0.543
18.487,0.607
19.142,0.562
19.292,0.616
21.959,0.955
22.333,1.092
22.531,0.534
22.754,0.542
22.84,0.549
22.852,0.614
1.25,0.55
4.932,0.59
5.143,0.439
5.444,0.458
5.971,0.335
6.305,0.661
10.097,0.617
10.301,2.442
10.349,0.376
10.521,0.65
10.688,0.699
10.688,0.378
11.001,0.517
12.966,0.521
13.635,0.454
14.038,0.616
14.303,0.589
14.573,0.4
14.906,0.62
15.135,0.514
15.963,0.402
16.159,0.551
16.342,0.904
16.532,0.439
19.703,0.698
20.923,0.558
21.379,0.525
8.33,0.758
8.596,0.519
10.455,0.705
12.051,0.302
12.205,0.445
12.562,0.36
12.583,0.336
15.904,0.311
18.136,0.464
19.818,0.32
1.183,0.533
5.075,0.577
7.294,0.85
10.916,1.531
11.242,0.508
11.59,0.919
11.705,0.414
12.739,0.89
13.239,0.386
13.393,0.515
13.516,0.354
13.521,0.317
14.863,0.343
18.545,0.524
18.846,0.633
4.425,0.527
6.5,0.724
8.068,0.522
10.332,0.576
12.015,0.314
12.1,0.399
12.373,0.341
12.623,0.443
12.695,0.413
14.709,0.519
15.988,0.506
16.579,0.316
9.553,0.415
10.869,0.643
12.707,0.545
12.837,0.801
13.102,0.322
13.146,0.556
13.327,0.368
13.636,0.607
15.681,0.353
19.096,0.787
8.179,0.689
10.124,1.616
12.605,0.485
13.76,0.348
13.845,0.554
14.417,0.524
14.581,0.315
15.752,0.328
16.009,0.403
18.647,0.523
18.705,0.518
19.044,0.507
9.395,1.019
11.72,0.309
12.789,0.346
13.002,0.41
13.285,0.564
14.957,0.315
15.109,0.503
15.695,0.406
16.746,0.647
18.047,0.767
18.824,0.414
18.895,0.32
19.131,0.326
19.163,0.54
11.64,0.348
11.666,0.611
11.666,0.39
11.711,0.374
12.093,0.361
12.163,0.365
12.381,0.321
12.543,0.53
13.802,0.443
13.887,0.359
14.544,0.35
16.058,0.543
16.104,0.344
18.664,0.549
21.804,0.64
7.242,0.59
9.044,0.6
9.359,0.566
10.666,0.545
10.666,0.425
11.229,2.125
12.773,0.361
13.009,0.355
13.084,0.515
13.381,0.569
14.709,0.353
18.747,0.359
18.799,0.564
18.892,0.625
18.947,0.558
18.947,0.465
18.997,0.338
19.1,0.43
19.186,0.598
19.286,0.703
19.346,0.576
19.384,0.596
19.421,0.433
19.525,0.467
19.556,0.317
21.22,0.625
21.564,0.546
9.949,0.536
11.713,0.305
13.975,0.516
14.135,2.853
15.726,0.305
15.908,0.383
15.976,0.314
0.98,0.707
10.731,0.499
10.914,0.602
12.803,0.324
12.911,0.382
13.004,0.562
13.637,0.449
15.467,0.724
18.863,0.621
3.827,0.545
4.379,0.39
10.345,0.417
10.471,0.587
11.698,0.346
12.459,0.401
12.502,0.43
14.225,0.569
14.468,0.302
15.889,0.423
18.247,0.508
21.787,0.627
3.016,0.501
9.642,0.425
11.509,0.317
11.689,2.56
13.078,0.637
13.078,0.337
13.259,0.586
14.956,0.303
18.842,0.677
18.989,0.521
19.303,0.321
21.36,0.539
6.315,0.695
8.991,0.55
9.532,0.655
10.68,0.301
13.997,0.334
14.239,0.328
16.442,0.44
18.369,0.609
1.206,0.925
3.019,0.511
5.344,0.503
6.952,0.55
7.642,0.856
9.601,0.549
10.448,0.65
13.146,0.392
13.527,0.593
13.527,0.511
13.716,0.789
17.102,0.723
17.102,0.545
18.896,0.59
21.467,0.55
3.798,0.41
3.906,0.356
4.016,0.752
5.793,0.553
6.24,0.518
11.939,0.383
11.965,0.664
11.965,0.506
12.265,0.307
12.353,0.372
12.402,0.371
12.532,0.311
15.836,0.857
16.111,0.907
21.887,0.571
8.899,0.805
9.241,0.93
9.509,0.817
9.509,0.305
11.026,0.402
13.001,0.386
13.247,0.44
16.672,0.301
18.897,0.512
19.278,0.32
21.239,0.515
3.846,0.618
3.947,0.395
6.404,0.694
10.599,1.051
10.655,1.94
13.747,0.341
0.852,0.301
1.147,0.565
3.287,0.364
9.025,0.844
11.205,0.745
11.399,0.574
12.957,0.47
13.222,0.306
13.301,0.341
13.444,0.67
14.768,0.328
15.249,0.413
16.813,0.596
18.713,0.525
18.969,0.514
21.515,0.681
4.169,0.544
5.979,0.72
6.34,0.703
8.026,1.287
10.358,0.995
10.676,0.369
11.996,0.367
12.111,0.399
12.608,0.502
18.299,0.53
1.525,0.542
9.118,0.63
9.534,0.627
12.935,0.583
12.966,0.336
13.304,0.47
15.3,0.346
15.532,1.02
19.017,0.587
19.126,0.531
19.161,0.67
19.192,0.529
19.234,0.309
19.65,0.481
19.684,0.304
20.843,0.66
3.667,0.447
3.851,0.514
5.824,0.741
6.057,0.601
9.711,0.369
10.256,0.352
10.612,0.4
12.425,0.326
13.729,0.77
15.958,0.318
16.284,0.413
16.307,0.412
16.419,0.922
5.308,0.637
9.247,1.078
11.078,0.88
11.429,0.315
11.514,0.381
13.265,4.886
13.316,0.916
13.35,1.959
13.412,0.318
14.987,0.392
18.811,0.554
20.852,0.538
3.742,0.501
6.383,0.62
8.251,0.775
10.528,0.335
12.356,0.366
12.538,0.909
14.225,0.301
14.514,0.493
15.989,1.003
16.412,0.858
5.024,0.351
11.178,0.486
13.078,0.55
13.243,0.968
18.798,0.729
18.934,0.73
18.934,0.365
20.947,0.537
6.214,0.714
12.189,0.937
12.661,0.34
14.267,0.403
14.302,0.539
15.859,0.337
16.087,0.304
11.206,1.411
11.581,0.415
12.929,0.393
13.952,2.567
14.064,0.32
14.959,0.553
14.959,0.446
18.604,0.527
18.779,0.532
20.545,0.706
20.756,0.529
2.089,0.68
4.305,0.333
4.612,0.324
5.185,0.408
6.0,0.354
6.091,0.507
6.195,0.609
6.195,0.441
6.232,0.45
8.33,0.548
9.652,0.358
12.389,1.399
13.931,0.318
14.051,1.409
14.154,0.404
14.375,4.0
14.556,0.32
3.07,0.53
14.803,0.703
17.584,0.306
18.743,0.402
18.792,1.197
18.918,0.383
19.066,0.318
20.785,0.551
2.277,0.534
4.306,0.556
6.131,0.848
13.715,0.372
13.761,0.346
14.199,0.504
18.41,0.652
18.472,0.558
