LT(hr),Amp(Pa)
19.284,0.366
10.594,1.132
11.11,0.323
12.393,0.916
12.769,0.815
12.769,0.457
12.802,0.513
13.129,0.342
14.626,0.43
14.724,0.627
14.797,0.343
14.944,0.69
11.538,0.304
11.773,0.328
11.903,0.48
12.009,0.313
12.074,0.523
13.392,0.318
13.936,0.335
14.02,0.38
14.205,0.322
15.603,0.525
3.053,0.396
10.196,0.31
10.504,0.377
10.713,0.35
10.806,0.612
10.863,0.328
12.507,0.785
12.722,0.601
13.2,0.378
14.248,0.349
14.48,0.631
14.48,0.353
14.695,0.357
9.728,0.334
11.249,0.755
11.611,0.705
11.7,0.433
11.736,0.435
11.846,0.326
12.11,0.417
13.388,1.159
13.834,0.592
14.159,0.747
15.49,0.765
19.598,0.359
10.825,0.393
11.116,0.371
11.161,0.308
12.284,0.51
12.284,0.478
12.566,0.59
12.566,0.329
12.711,0.331
12.875,0.302
9.22,0.384
9.528,0.423
10.102,0.741
11.279,0.38
11.342,0.509
11.722,0.516
12.043,0.679
12.114,0.622
12.144,1.38
13.193,1.695
13.681,0.558
13.867,0.486
15.418,0.305
15.608,0.319
16.121,0.792
12.896,0.313
14.501,0.57
14.59,0.346
14.764,0.417
15.066,0.397
15.13,0.301
10.2,0.334
13.36,0.52
13.487,0.655
13.584,0.67
13.807,0.303
13.982,0.325
15.538,0.65
15.546,0.467
15.682,0.319
15.851,0.33
17.581,0.582
17.581,0.416
17.754,0.357
12.913,0.575
12.979,0.502
12.979,0.474
11.795,0.534
12.211,0.363
13.734,0.333
15.461,0.321
15.529,0.655
15.659,0.334
15.844,0.599
17.253,0.814
10.886,0.571
10.99,1.186
12.389,0.518
12.389,0.408
12.608,0.521
12.822,0.37
12.911,0.39
13.118,0.57
13.223,0.36
14.43,0.305
17.046,0.332
11.717,0.322
11.933,0.513
11.933,0.373
12.137,0.735
12.137,0.46
13.259,0.837
13.738,0.612
13.961,3.954
15.796,0.522
10.691,1.322
10.812,0.391
10.962,0.59
11.007,0.369
12.316,0.381
12.38,0.378
12.824,0.76
12.824,0.399
12.922,0.372
